time,open,high,low,close,volume,spread,real_volume
2025-09-25 02:20:00,4152.87,4155.85,4150.63,4154.34,487,295.2,0
2025-09-25 02:25:00,4154.43,4158.84,4153.21,4154.31,393,295.4,0
2025-09-25 02:30:00,4154.28,4155.61,4148.9,4150.1,347,295.2,0
2025-09-25 02:35:00,4150.08,4152.92,4148.57,4149.03,387,295.0,0
2025-09-25 02:40:00,4149.01,4149.27,4146.92,4147.51,330,295.6,0
2025-09-25 02:45:00,4147.52,4150.14,4143.3,4147.46,395,295.8,0
2025-09-25 02:50:00,4147.29,4147.4,4143.23,4147.12,445,295.0,0
2025-09-25 02:55:00,4147.14,4153.0,4146.59,4150.95,428,295.4,0
2025-09-25 03:00:00,4151.24,4155.7,4148.56,4155.66,469,295.0,0
2025-09-25 03:05:00,4155.68,4159.48,4154.29,4157.15,454,295.2,0
2025-09-25 03:10:00,4157.16,4159.51,4155.5,4157.99,397,295.6,0
2025-09-25 03:15:00,4158.03,4158.09,4143.02,4145.76,524,295.2,0
2025-09-25 03:20:00,4145.79,4148.1,4135.86,4139.2,696,295.0,0
2025-09-25 03:25:00,4139.17,4140.89,4134.23,4137.52,596,295.2,0
2025-09-25 03:30:00,4137.48,4142.78,4136.91,4140.54,660,295.2,0
2025-09-25 03:35:00,4140.59,4144.07,4131.42,4143.51,717,295.2,0
2025-09-25 03:40:00,4143.57,4149.49,4139.09,4140.32,610,295.0,0
2025-09-25 03:45:00,4140.27,4142.32,4130.41,4135.83,681,295.0,0
2025-09-25 03:50:00,4135.84,4136.64,4125.91,4129.95,580,295.0,0
2025-09-25 03:55:00,4129.86,4135.85,4121.15,4127.8,649,295.4,0
2025-09-25 04:00:00,4127.68,4133.85,4118.62,4127.95,905,295.4,0
2025-09-25 04:05:00,4127.97,4129.24,4116.37,4119.62,865,295.2,0
2025-09-25 04:10:00,4119.59,4135.41,4119.59,4124.9,793,295.2,0
2025-09-25 04:15:00,4124.63,4127.16,4116.5,4121.34,919,295.0,0
2025-09-25 04:20:00,4121.31,4123.96,4110.75,4111.65,841,295.0,0
2025-09-25 04:25:00,4111.58,4116.19,4098.62,4108.23,1017,295.0,0
2025-09-25 04:30:00,4108.13,4108.17,4094.6,4097.08,1155,295.0,0
2025-09-25 04:35:00,4097.05,4106.75,4089.22,4093.71,1202,295.0,0
2025-09-25 04:40:00,4093.84,4096.53,4080.72,4084.1,1207,295.2,0
2025-09-25 04:45:00,4084.03,4101.81,4081.84,4096.86,1107,295.0,0
2025-09-25 04:50:00,4096.77,4097.66,4081.38,4093.08,1010,295.0,0
2025-09-25 04:55:00,4093.21,4101.55,4093.21,4100.62,750,295.0,0
2025-09-25 05:00:00,4100.61,4115.33,4098.64,4111.18,983,295.0,0
2025-09-25 05:05:00,4111.18,4115.98,4098.36,4098.38,794,295.2,0
2025-09-25 05:10:00,4098.38,4098.38,4087.15,4090.3,721,295.2,0
2025-09-25 05:15:00,4090.37,4091.02,4068.01,4071.49,1192,295.0,0
2025-09-25 05:20:00,4071.49,4080.95,4061.9,4080.9,1126,295.0,0
2025-09-25 05:25:00,4081.05,4087.67,4079.89,4082.59,927,295.0,0
2025-09-25 05:30:00,4082.53,4136.05,4080.69,4123.66,1401,295.0,0
2025-09-25 05:35:00,4123.67,4124.54,4104.38,4110.43,1008,295.0,0
2025-09-25 05:40:00,4110.43,4112.73,4098.2,4100.16,848,295.0,0
2025-09-25 05:45:00,4100.17,4109.26,4099.39,4109.26,826,295.2,0
2025-09-25 05:50:00,4109.36,4110.73,4091.43,4092.91,699,295.0,0
2025-09-25 05:55:00,4092.66,4103.84,4092.66,4100.62,646,295.0,0
2025-09-25 06:00:00,4100.61,4102.08,4091.24,4093.7,625,295.2,0
2025-09-25 06:05:00,4093.71,4097.81,4090.43,4094.56,612,295.2,0
2025-09-25 06:10:00,4094.52,4098.21,4083.97,4087.67,709,295.0,0
2025-09-25 06:15:00,4087.64,4090.55,4068.35,4071.5,841,295.0,0
2025-09-25 06:20:00,4071.51,4075.31,4047.4,4054.48,1257,295.0,0
2025-09-25 06:25:00,4054.47,4056.08,4032.04,4036.18,1381,295.2,0
2025-09-25 06:30:00,4036.22,4046.85,4020.66,4046.67,1628,295.0,0
2025-09-25 06:35:00,4046.44,4053.09,4036.82,4050.24,1127,295.0,0
